3DS Challenge,3DS Challenge,
API Key,Clave de API,
API Password,Contraseña de API,
API Secret,Clave Secreta de API,
API URL,API URL,
API Username,Nombre de usuario de API,
AUTO,AUTO,
About,About,
Amount must be greater than 0.,La cantidad debe ser mayor que 0.,
An error occured during the payment process. Please contact us.,Se produjo un error durante el proceso de pago. Por favor contáctenos.,
Braintree Settings,Configuración de Braintree,
Brand,Marca,
CHALLENGE_MANDATE,CHALLENGE_MANDATE,
CHALLENGE_REQUESTED,CHALLENGE_REQUESTED,
Card Details,Detalles de Tarjeta,
Check this if you are testing your payment using the Sandbox API,Comprobar esto si está probando su pago mediante la API de Sandbox,
Clic&Pay By groupe Crédit du Nord,Clic&Pay By groupe Crédit du Nord,
Cobro Inmediato,Cobro Inmediato,
Contact us,Contáctanos,
Continue,Continuar,
Controller method get_razorpay_order missing,Falta el método de controlador get_razorpay_order,
Could not create Razorpay order. Please contact Administrator,"No se pudo crear el pedido de Razorpay. Por favor, póngase en contacto con el administrador",
Could not create razorpay order,No se pudo crear el pedido de razorpay,
Could not validate production credentials.,No se pudieron validar las credenciales de producción.,
Could not validate test credentials.,No se pudieron validar las credenciales de prueba.,
DISABLED,DISABLED,
Documentation,Documentation,
Email,Correo electrónico,
EpayNC,EpayNC,
Failed while amending subscription,Falló al modificar la suscripción,
"For currency {0}, the minimum transaction amount should be {1}","Para la moneda {0}, el importe mínimo de la transacción debe ser {1}",
"For more information, {0}.","Para más información, {0}.",
Frappe Support,Frappe Support,
Gateway,Pasarela,
Gateway Controller,Controlador de Gateway,
Gateway Settings,Configuraciones de Gateway,
Header Image,Imagen de Cabecera,
In Valid Request,Solicitud no válida,
Industry Type ID,ID de tipo de industria,
Invalid Subscription,Suscripción no válida,
Invalid Token,Ficha inválida,
Invalid payment gateway credentials,Credenciales de Pasarela de Pagos no válidas,
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Parece que hay un problema con la configuración de la banda del servidor. En caso de falla, la cantidad será reembolsada a su cuenta.",
John Doe,John Doe,
Keyboard Shortcuts,Atajos de teclado,
Log out,Log out,
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Parece que alguien le envió a una URL incompleta. Por favor, pídeles que revisen.",
Looks like something is wrong with this site's Paypal configuration.,Parece que algo está mal con la configuración de PayPal del sitio,
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,Parece que algo está mal con la configuración de la pasarela de pago de este sitio. No se ha realizado el pago.,
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Parece que algo ha ido mal durante la transacción. Puesto que no hemos confirmado el pago, PayPal le reembolsará automáticamente esta cantidad. Si no es así, por favor, envíenos un correo electrónico y mencionar el ID de correlación: {0}.",
Lyra Collect,Lyra Collect,
Mention transaction completion page URL,URL de pagina de mención de transacción completa,
Merchant ID,Merchant ID,
Merchant Key,Clave de comerciante,
Mi Cuenta Web,Mi Cuenta Web,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
NO_PREFERENCE,NO_PREFERENCE,
Name,Nombre,
Pay,Pagar,
PayPal Settings,Ajustes de PayPal,
PayZen Brazil,PayZen Brazil,
PayZen Europe,PayZen Europe,
PayZen India,PayZen India,
PayZen LATAM,PayZen LATAM,
Payment Cancelled,Pago Cancelado,
Payment Failed,Pago Fallido,
Payment Gateway,Pasarela de Pago,
Payment Gateway Name,Nombre de Pasarela de Pago,
Payment Gateways,Payment Gateways,
Payment Running,Payment Running,
Payment Success,Pago Exitoso,
Payment amount cannot be 0,Payment amount cannot be 0,
Payment with a Problem,Payment with a Problem,
Payments,Pagos.,
Paytm Settings,Configuración de Paytm,
Payty,Payty,
Payzen Settings,Payzen Settings,
Please contact you bank to verify the status of this payment.,Comuníquese con su banco para verificar el estado de este pago.,
Please select a Amount Field.,"Por favor, seleccione un campo de cantidad.",
Please select another payment method. PayPal does not support transactions in currency '{0}',Por favor seleccione otro método de pago. PayPal no admite transacciones en moneda &#39;{0}&#39;,
Please select another payment method. Paytm does not support transactions in currency '{0}',Seleccione otro método de pago. Paytm no admite transacciones en la moneda &#39;{0}&#39;,
Please select another payment method. Payzen does not support transactions in currency '{0}',Seleccione otro método de pago. Payzen no admite transacciones en moneda '{0}',
Please select another payment method. Razorpay does not support transactions in currency '{0}',Por favor seleccione otro método de pago. Razorpay no admite transacciones en moneda &#39;{0}&#39;,
Please select another payment method. Stripe does not support transactions in currency '{0}',Seleccione otro método de pago. Stripe no admite transacciones en moneda &#39;{0}&#39;,
Private Key,Private Key,
Problem,Problema,
